BOARD A13_FANIN,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,scheme,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Bias Scan,Top,1815,19151,37,7,0,50,13,-1.5,1.5,Good,,
1,Pedestal,Top,1816,,37,7,0,50,13,-1.5,1.5,Good,,
1,Bias Scan,Top,1817,19152,37,7,0,100,18,-1.5,1.3,Good,,
1,Pedestal,Top,1818,,37,7,0,100,18,-1.5,1.3,Good,,
1,Calibration,Top,1819,,37,7,0,100,18,-1.5,1.3,Good,,
1,Bias Scan,Top,1820,19153,37,7,0,150,22,-1.5,1.2,Good,,
1,Pedestal,Top,1821,,37,7,0,150,22,-1.5,1.2,Good,,
1,Bias Scan,Top,1823,19154,37,7,0,200,24,-1.5,1.2,Good,,
1,Pedestal,Top,1824,,37,7,0,200,24,-1.5,1.2,Good,,
1,Calibration,Top,1825,,37,7,0,200,24,-1.5,1.2,Good,,
1,Bias Scan,Top,1826,19155,37,7,0,250,25,-1.5,1.2,Good,,
1,Pedestal,Top,1827,,37,7,0,250,25,-1.5,1.2,Good,,
1,Bias Scan,Top,1828,19156,37,7,0,300,25,-1.5,1,Good,,
1,Pedestal,Top,1829,,37,7,0,300,25,-1.5,1,Good,,
1,Calibration,Top,1830,,37,7,0,300,25,-1.5,1,Good,,
1,Bias Scan,Top,1831,19157,37,7,0,350,26,-1.5,1.1,Good,,
1,Pedestal,Top,1832,,37,7,0,350,26,-1.5,1.1,Good,,
1,Bias Scan,Top,1833,19158,37,7,0,400,26,-1.5,1.2,Good,,
1,Pedestal,Top,1834,,37,7,0,400,26,-1.5,1.2,Good,,
1,Calibration,Top,1835,,37,7,0,400,26,-1.5,1.2,Good,,
1,Bias Scan,Top,1836,19159,37,7,0,500,26,-1.5,1.2,Good,,Do these after all other runs are done
1,Pedestal,Top,1837,,37,7,0,500,26,-1.5,1.2,Good,,
1,Calibration,Top,1838,,37,7,0,500,26,-1.5,1.2,Good,,
,,,,,,,,,,,,Good,,
,,,,,,,,,,,,Good,,
1,Angle,Top,1839,19160,37,7,0,300,25,-1.5,1.2,Good,,at FD voltage + 50 V
1,Pedestal,Top,1840,,37,7,0,300,25,-1.5,1.2,Good,,
1,Angle,Top,1841,19161,37,7,5,300,25,-1.5,1.2,Good,,
1,Pedestal,Top,1842,,37,7,5,300,25,-1.5,1.2,Good,,
1,Angle,Top,1843,19162,37,7,10,300,25,-1.5,1.2,Good,,
1,Pedestal,Top,1844,,37,7,10,300,25,-1.5,1.2,Good,,
1,Angle,Top,1845,19163,37,7,20,300,25,-1.5,1.2,Good,,
1,Pedestal,Top,1846,,37,7,20,300,25,-1.5,1.2,Good,,
1,Angle,Top,1847,19164,37,7,-10,300,25,-1.5,1.2,Good,,
1,Pedestal,Top,1848,,37,7,-10,300,25,-1.5,1.2,Good,,
,,,,,,,,,,,,Good,,
,,,,,,,,,,,,Good,,
,,,,,,,,,,,,Good,,
2,Bias Scan,Top,1849,19165,43,7,0,50,13,-1.5,1.2,Good,,
2,Pedestal,Top,1850,,43,7,0,50,13,-1.5,1.2,Good,,
2,Bias Scan,Top,1851,19166,43,7,0,100,19,-1.5,1.2,Good,,
2,Pedestal,Top,1852,,43,7,0,100,19,-1.5,1.2,Good,,
2,Calibration,Top,1853,,43,7,0,100,19,-1.5,1.2,Good,,
2,Bias Scan,Top,1854,19167,43,7,0,150,22,-1.5,1.2,Good,,
2,Pedestal,Top,1855,,43,7,0,150,22,-1.5,1.2,Good,,
2,Bias Scan,Top,1856,19168,43,7,0,200,24,-1.5,1.2,Good,,
2,Pedestal,Top,1857,,43,7,0,200,24,-1.5,1.2,Good,,
2,Calibration,Top,1858,,43,7,0,200,24,-1.5,1.2,Good,,
2,Bias Scan,Top,1859,19169,43,7,0,250,25,-1.4,1.1,Good,,
2,Pedestal,Top,1860,,43,7,0,250,25,-1.4,1.1,Good,,
2,Bias Scan,Top,1861,19170,43,7,0,300,25,-1.4,1.1,Good,,looks to be rotated in data
2,Pedestal,Top,1862,,43,7,0,300,25,-1.4,1.1,Good,,
2,Calibration,Top,1863,,43,7,0,300,25,-1.4,1.1,Good,,
2,Bias Scan,Top,1864,19171,43,7,0,350,26,-1.4,1.1,Good,,
2,Pedestal,Top,1865,,43,7,0,350,26,-1.4,1.1,Good,,
2,Bias Scan,Top,1866,19172,43,7,0,400,27,-1.4,1.1,Good,,
2,Pedestal,Top,1867,,43,7,0,400,27,-1.4,1.1,Good,,
2,Calibration,Top,1868,,43,7,0,400,27,-1.4,1.1,Good,,
2,Bias Scan,Top,1869,19173,43,7,0,500,28,-1.4,1.1,Good,,Do these after all other runs are done
2,Pedestal,Top,1870,,43,7,0,500,28,-1.4,1.1,Good,,
2,Calibration,Top,1871,,43,7,0,500,28,-1.4,1.1,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Angle,Top,1872,19174,43,7,0,300,25,-1.4,1.1,Good,,at FD voltage + 50 V
2,Pedestal,Top,1873,,43,7,0,300,25,-1.4,1.1,Good,,
2,Angle,Top,1874,19175,43,7,5,300,25,-1.4,1.1,Good,,
2,Pedestal,Top,1875,,43,7,5,300,25,-1.4,1.1,Good,,
2,Angle,Top,1876,19176,43,7,10,300,25,-1.4,1.1,Good,,
2,Pedestal,Top,1877,,43,7,10,300,25,-1.4,1.1,Good,,
2,Angle,Top,1878,19177,43,7,20,300,25,-1.4,1.1,Good,,
2,Pedestal,Top,1879,,43,7,20,300,25,-1.4,1.1,Good,,
2,Angle,Top,1881,19178,43,7,-10,300,25,-1.4,1.1,Good,,
2,Pedestal,Top,1882,,43,7,-10,300,25,-1.4,1.1,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Bias Scan,Top,1948,19213,37,7,0,50,11.7,-1.7,0.7,Good,,
1,Pedestal,Top,1949,-,37,7,0,50,11.7,-1.7,0.7,Good,,
1,Bias Scan,Top,1950,19214,37,7,0,100,16.6,-1.7,0.7,Good,,
1,Pedestal,Top,1951,-,37,7,0,100,16.6,-1.7,0.7,Good,,
1,Calibration,Top,1952,-,37,7,0,100,16.6,-1.7,0.7,Good,,
1,Bias Scan,Top,1953,19215,37,7,0,150,19.8,-1.7,0.7,Good,,
1,Pedestal,Top,1954,-,37,7,0,150,19.8,-1.7,0.7,Good,,
1,Bias Scan,Top,1955,19216,37,7,0,200,21.4,-1.7,0.7,Good,,
1,Pedestal,Top,1956,-,37,7,0,200,21.4,-1.7,0.7,Good,,
1,Calibration,Top,1957,-,37,7,0,200,21.4,-1.7,0.7,Good,,
1,Bias Scan,Top,1958,19217,37,7,0,250,22.2,-1.7,0.7,Good,,
1,Pedestal,Top,1959,-,37,7,0,250,22.2,-1.7,0.7,Good,,
1,Bias Scan,Top,1960,19218,37,7,0,300,22.7,-1.7,0.7,Good,,
1,Pedestal,Top,1961,-,37,7,0,300,22.7,-1.7,0.7,Good,,
1,Calibration,Top,1962,-,37,7,0,300,22.7,-1.7,0.7,Good,,
1,Bias Scan,Top,1963,19219,37,7,0,350,23.2,-1.7,0.7,Good,,
1,Pedestal,Top,1964,-,37,7,0,350,23.2,-1.7,0.7,Good,,
1,Bias Scan,Top,1965,19220,37,7,0,400,23.6,-1.7,0.7,Good,,
1,Pedestal,Top,1966,-,37,7,0,400,23.6,-1.7,0.7,Good,,
1,Calibration,Top,1967,-,37,7,0,400,23.6,-1.7,0.7,Good,,
1,Bias Scan,Top,1968,19221,37,7,0,500,24.9,-1.7,0.7,Good,,Do these after all other runs are done
1,Pedestal,Top,1969,-,37,7,0,500,24.9,-1.7,0.7,Good,,
1,Calibration,Top,1970,-,37,7,0,500,24.9,-1.7,0.7,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Angle,Top,1971,19222,37,7,0,300,20,-2.3,0.7,Good,,at FD voltage + 50 V
1,Pedestal,Top,2006,-,37,7,0,300,22,-2.3,0.7,Good,,
1,Angle,Top,2007,19237,37,7,5,300,22,-2.3,0.7,Good,,
1,Pedestal,Top,2008,-,37,7,5,300,22,-2.3,0.7,Good,,
1,Angle,Top,2009,19238,37,7,10,300,22,-2.3,0.7,Good,,
1,Pedestal,Top,2010,-,37,7,10,300,22,-2.3,0.7,Good,,
1,Angle,Top,2011,19239,37,7,20,300,22,-2.3,0.7,Good,,
1,Pedestal,Top,2012,-,37,7,20,300,22,-2.3,0.7,Good,,
1,Angle,Top,2013,19240,37,7,-10,300,22,-2.3,0.7,Good,,
1,Pedestal,Top,2014,-,37,7,-10,300,22,-2.3,0.7,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias Scan,Top,1972,19223,43,7,0,50,10,-2.3,0.7,Good,,
2,Pedestal,Top,1973,-,43,7,0,50,10,-2.3,0.7,Good,,
2,Bias Scan,Top,1974,19224,43,7,0,100,15,-2.3,0.7,Good,,
2,Pedestal,Top,1975,-,43,7,0,100,15,-2.3,0.7,Good,,
2,Calibration,Top,1976,-,43,7,0,100,15,-2.3,0.7,Good,,
2,Bias Scan,Top,1977,19225,43,7,0,150,18,-2.3,0.7,Good,,
2,Pedestal,Top,1978,-,43,7,0,150,18,-2.3,0.7,Good,,
2,Bias Scan,Top,1979,19226,43,7,0,200,20,-2.3,0.7,Good,,
2,Pedestal,Top,1980,-,43,7,0,200,20,-2.3,0.7,Good,,
2,Calibration,Top,1981,-,43,7,0,200,20,-2.3,0.7,Good,,
2,Bias Scan,Top,1982,19227,43,7,0,250,21,-2.3,0.7,Good,,
2,Pedestal,Top,1983,-,43,7,0,250,21,-2.3,0.7,Good,,
2,Bias Scan,Top,1984,,43,7,0,300,21,-2.3,0.7,Bad,,Pedestal mode set
2,Bias Scan,Top,1985,19228,43,7,0,300,21,-2.3,0.7,Good,,
2,Pedestal,Top,1986,-,43,7,0,300,21,-2.3,0.7,Good,,
2,Calibration,Top,1987,-,43,7,0,300,21,-2.3,0.7,Good,,
2,Bias Scan,Top,1988,19229,43,7,0,350,22,-2.3,0.7,Good,,
2,Pedestal,Top,1989,-,43,7,0,350,22,-2.3,0.7,Good,,
2,Bias Scan,Top,1990,19230,43,7,0,400,22,-2.3,0.7,Good,,
2,Pedestal,Top,1991,-,43,7,0,400,22,-2.3,0.7,Good,,
2,Calibration,Top,1992,-,43,7,0,400,22,-2.3,0.7,Good,,
2,Bias Scan,Top,1993,19231,43,7,0,500,23,-2.3,0.7,Good,,Do these after all other runs are done
2,Pedestal,Top,1994,-,43,7,0,500,23,-2.3,0.7,Good,,
2,Calibration,Top,1995,-,43,7,0,500,23,-2.3,0.7,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Angle,Top,1996,19232,43,7,0,300,22,-2,0.7,Good,,at FD voltage + 50 V
2,Pedestal,Top,1997,-,43,7,0,300,22,-2,0.7,Good,,
2,Angle,Top,1998,19233,43,7,5,300,22,-2,0.7,Good,,
2,Pedestal,Top,1999,-,43,7,5,300,22,-2,0.7,Good,,
2,Angle,Top,2000,19234,43,7,10,300,22,-2,0.7,Good,,
2,Pedestal,Top,2001,-,43,7,10,300,22,-2,0.7,Good,,
2,Angle,Top,2002,19235,43,7,20,300,22,-2,0.7,Good,,
2,Pedestal,Top,2003,-,43,7,20,300,22,-2,0.7,Good,,
2,Angle,Top,2005,19236,43,7,-10,300,22,-2,0.7,Good,,
2,Pedestal,Top,2004,-,43,7,-10,300,22,-2,0.7,Good,,
