BOARD M3,FANIN,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
Central,Bias Scan,Top,237,15142,70,10,0,50,17.2,0,,Good,Good,All runs are good. I chcked the landau distributions looks fine
Central,Pedestal,Top,238,,70,10,0,50,17.2,0,,Good,Good,
Central,Bias Scan,Top,239,15143,70,10,0,100,25,-0.2,,Good,Good,
Central,Pedestal,Top,240,,70,10,0,100,25,-0.2,,Good,Good,
Central,Bias Scan,Top,241,15144,70,10,0,150,30.2,-0.3,,Good,Good,
Central,Pedestal,Top,242,,70,10,0,150,30.2,-0.3,,Good,Good,
Central,Bias Scan,Top,243,15145,70,10,0,200,32.6,-0.3,,Good,Good,Comment in KeplerRun says 150V
Central,Pedestal,Top,244,,70,10,0,200,32.6,-0.3,,Good,Good,
Central,Bias Scan,Top,245,15146,70,10,0,250,33.8,-0.4,,Good,Good,
Central,Pedestal,Top,246,,70,10,0,250,33.8,-0.4,,Good,Good,
Central,Bias Scan,Top,247,15147,70,10,0,300,34.7,-0.4,,Good,Good,
Central,Pedestal,Top,248,,70,10,0,300,34.7,-0.4,,Good,Good,
Central,Bias Scan,Top,249,15148,70,10,0,350,35.7,-0.4,,Good,Good,
Central,Pedestal,Top,250,,70,10,0,350,35.7,-0.4,,Good,Good,
Central,Bias Scan,Top,251,15149,70,10,0,400,37,-0.4,,Good,Good,
Central,Pedestal,Top,252,,70,10,0,400,37,-0.4,,Good,Good,
Central,Bias Scan,Top,253,15150,70,10,0,450,38,-0.4,,Good,Good,
Central,Pedestal,Top,254,,70,10,0,450,38,-0.4,,Good,Good,
Central,Calibration,Top,255,,70,10,0,450,38,-0.4,,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Central,Eff/Res,Top,256,15151,65,10,0,300,35,-0.5,-,Good,,Forgot to stop TPX3. Kepler run could be too long
Central,Eff/Res,Top,257,15152,65,10,0,300,35,-0.5,-,Good,,
Central,Eff/Res,Top,258,15153,70,10,0,300,-,-2.38,-,Good,,"One hot pixel on plane 0 of the telescope, repeating the run "
